primary_drug_id_norm,secondary_drug_id_norm,condition_id_norm
['CHEBI:100241'],['CHEBI:17650'],MONDO:0001051
['CHEBI:100241'],['CHEBI:17650'],MONDO:0021666
['CHEBI:100241'],['CHEBI:17650'],UMLS:C0740437
['CHEBI:100241'],['CHEBI:41879'],HP:0000371
['CHEBI:100241'],['CHEBI:41879'],MONDO:0001051
['CHEBI:100241'],['CHEBI:41879'],MONDO:0005441
['CHEBI:100241'],['CHEBI:41879'],MONDO:0005975
['CHEBI:100241'],['CHEBI:41879'],UMLS:C0015404
['CHEBI:100241'],['CHEBI:5108'],MONDO:0005892
['CHEBI:100241'],['CHEBI:6909'],UMLS:C1112209
['CHEBI:100241'],['CHEBI:75176'],MONDO:0021697
['CHEBI:100241'],['CHEBI:75176'],MONDO:0100128
['CHEBI:100241'],['CHEBI:8232'],UMLS:C0746883
['CHEBI:10033'],['CHEBI:4653'],UMLS:C0919822
['CHEBI:10033'],['UNII:8NZ41MIK1O'],HP:0002625
['CHEBI:10033'],['UNII:8NZ41MIK1O'],MONDO:0005279
['CHEBI:10033'],['UNII:PUE0TO3XDR'],HP:0002625
['CHEBI:10082'],['CHEBI:135978'],HP:0001742
['CHEBI:10082'],['CHEBI:27373'],HP:0001742
['CHEBI:10082'],['CHEBI:27373'],MONDO:0005961
['CHEBI:10082'],['CHEBI:27373'],MONDO:0011786
['CHEBI:10082'],['CHEBI:91495'],HP:0001742
['CHEBI:10082'],['CHEBI:91495'],MONDO:0005091
['CHEBI:10082'],['CHEBI:91495'],MONDO:0011786
['CHEBI:10110'],"['CHEBI:421707', 'CHEBI:63577']",MONDO:0005109
['CHEBI:10119'],"['CHEBI:39867', 'CHEBI:6504']",MONDO:0004985
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",HP:0020083
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0001786
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0003799
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0005227
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0006668
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0021783
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0021839
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0043839
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",MONDO:0100338
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",UMLS:C0042136
['CHEBI:102130'],"['CHEBI:102265', 'CHEBI:9328']",UMLS:C1610066
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0004605
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0004652
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0004863
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0005249
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0005292
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0043839
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0043885
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",MONDO:0100338
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",UMLS:C0015404
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",UMLS:C0152516
['CHEBI:102130'],"['CHEBI:9328', 'CHEBI:9337']",UMLS:C0521833
['CHEBI:102484'],['CHEBI:17076'],MONDO:0000889
['CHEBI:102484'],['CHEBI:18208'],MONDO:0001031
['CHEBI:102484'],['CHEBI:42355'],HP:0000371
['CHEBI:102484'],['CHEBI:42355'],MONDO:0001031
['CHEBI:102484'],['CHEBI:8673'],MONDO:0005989
['CHEBI:102524'],"['CHEBI:135538', 'CHEBI:27732']",HP:0012531
['CHEBI:102524'],"['CHEBI:135538', 'CHEBI:27732']",HP:0100607
['CHEBI:102524'],"['CHEBI:135538', 'CHEBI:27732']",NCIT:C78640
['CHEBI:102524'],"['CHEBI:135538', 'CHEBI:27732']",UMLS:C0852402
['CHEBI:102524'],"['CHEBI:15365', 'CHEBI:16714', 'CHEBI:27732']",HP:0004305
['CHEBI:102524'],"['CHEBI:15365', 'CHEBI:16714', 'CHEBI:27732']",HP:0012228
['CHEBI:102524'],"['CHEBI:15365', 'CHEBI:27732']",HP:0012228
['CHEBI:102524'],"['CHEBI:16714', 'CHEBI:27732', 'CHEBI:46195']",HP:0012228
['CHEBI:102524'],"['CHEBI:16714', 'CHEBI:27732', 'CHEBI:46195']",UMLS:C0522248
['CHEBI:102524'],"['CHEBI:27732', 'CHEBI:46195']",HP:0012228
['CHEBI:102524'],['CHEBI:46195'],HP:0012228
['CHEBI:10304'],['CHEBI:6759'],MONDO:0005276
['CHEBI:10454'],['CHEBI:135214'],MONDO:0001942
['CHEBI:10454'],['CHEBI:135214'],MONDO:0002009
['CHEBI:10454'],['CHEBI:135214'],MONDO:0004938
['CHEBI:10454'],['CHEBI:135214'],UMLS:C0027804
['CHEBI:10454'],['CHEBI:135214'],UMLS:C0236988
['CHEBI:10454'],['CHEBI:135214'],UMLS:C0860603
['CHEBI:10650'],['CHEBI:7476'],UMLS:C1740836
['CHEBI:107736'],"['CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",HP:0002018
['CHEBI:107736'],"['CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",NCIT:C78213
['CHEBI:107736'],"['CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0001707
['CHEBI:107736'],"['CHEBI:15671', 'CHEBI:30769', 'CHEBI:31498', 'CHEBI:32139', 'CHEBI:64733']",UMLS:C0232574
['CHEBI:107736'],"['CHEBI:31459', 'CHEBI:31498', 'CHEBI:81916', 'DRUGBANK:DB13281']",UMLS:C0267167
['CHEBI:107736'],['CHEBI:31498'],HP:0002017
['CHEBI:107736'],"['CHEBI:31498', 'CHEBI:81916']",UMLS:C0267167
['CHEBI:113556'],"['CHEBI:4470', 'CHEBI:52010']",HP:0012735
['CHEBI:113556'],"['CHEBI:4470', 'CHEBI:52010']",MONDO:0002258
['CHEBI:113556'],"['CHEBI:4470', 'CHEBI:52010']",MONDO:0003781
['CHEBI:113556'],"['CHEBI:4470', 'CHEBI:52010']",MONDO:0005709
['CHEBI:114785'],['CHEBI:175901'],UMLS:C5395609
['CHEBI:114785'],['UNII:2S9ZZM9Q9V'],UMLS:C3266992
['CHEBI:114785'],['UNII:D99YVK4L0X'],UMLS:C3888903
['CHEBI:114786'],"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:32954']",HP:0001944
['CHEBI:114786'],"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:32954']",MONDO:0000440
['CHEBI:114786'],"['CHEBI:131527', 'CHEBI:17234', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:32954']",MONDO:0006919
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:17650', 'CHEBI:31292']",HP:0012390
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:17650', 'CHEBI:31292']",MONDO:0004872
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:17650', 'CHEBI:31292']",UMLS:C0033775
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:17650', 'CHEBI:4853']",MONDO:0004872
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:17650', 'CHEBI:4853']",UMLS:C0033775
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",HP:0033050
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",MONDO:0002258
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",MONDO:0006723
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",UMLS:C0555971
['CHEBI:116735'],"['CHEBI:135611', 'CHEBI:7507', 'UNII:877376V2XW']",UMLS:C0729771
['CHEBI:116735'],"['CHEBI:135611', 'UNII:877376V2XW']",MONDO:0001039
['CHEBI:116735'],"['CHEBI:135611', 'UNII:877376V2XW']",MONDO:0002258
['CHEBI:116735'],"['CHEBI:135611', 'UNII:877376V2XW']",MONDO:0002508
['CHEBI:116735'],"['CHEBI:135611', 'UNII:877376V2XW']",MONDO:0006723
['CHEBI:116735'],['CHEBI:17650'],MONDO:0004872
['CHEBI:116735'],"['CHEBI:17650', 'CHEBI:36560']",MONDO:0004872
['CHEBI:116735'],"['CHEBI:17987', 'CHEBI:34393']",MONDO:0002406
['CHEBI:116735'],"['CHEBI:17987', 'CHEBI:34393']",UMLS:C0006435
['CHEBI:116735'],"['CHEBI:17987', 'CHEBI:34393']",UMLS:C0021564
['CHEBI:116735'],"['CHEBI:17987', 'CHEBI:34393']",UMLS:C1302752
['CHEBI:116735'],"['CHEBI:17987', 'CHEBI:34393']",UMLS:C5437085
['CHEBI:116735'],['CHEBI:27796'],HP:0002013
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",HP:0000155
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",MONDO:0001039
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",MONDO:0006723
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",MONDO:0006771
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",MONDO:0021783
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",UMLS:C0555971
['CHEBI:116735'],"['CHEBI:31264', 'UNII:877376V2XW']",UMLS:C0729771
['CHEBI:116735'],['CHEBI:3614'],EFO:0010072
['CHEBI:116735'],['CHEBI:3614'],HP:0033050
['CHEBI:116735'],['CHEBI:3614'],MONDO:0001039
['CHEBI:116735'],['CHEBI:3614'],MONDO:0002508
['CHEBI:116735'],['CHEBI:3614'],MONDO:0005113
['CHEBI:116735'],['CHEBI:3614'],MONDO:0006723
['CHEBI:116735'],['CHEBI:36560'],MONDO:0043653
['CHEBI:116735'],"['CHEBI:39561', 'UNII:877376V2XW']",MONDO:0006723
['CHEBI:116735'],['CHEBI:4636'],HP:0000989
['CHEBI:116735'],['CHEBI:4636'],HP:0012531
['CHEBI:116735'],['CHEBI:9468'],MONDO:0004872
['CHEBI:116735'],['CHEBI:9468'],MONDO:0005326
['CHEBI:116735'],['CHEBI:9468'],MONDO:0005480
['CHEBI:116735'],['CHEBI:9468'],UMLS:C0006435
['CHEBI:116735'],['CHEBI:9468'],UMLS:C0011593
['CHEBI:116735'],['CHEBI:9468'],UMLS:C0021564
['CHEBI:116735'],['UNII:877376V2XW'],MONDO:0001039
['CHEBI:116735'],['UNII:877376V2XW'],MONDO:0002258
['CHEBI:116735'],['UNII:877376V2XW'],MONDO:0002508
['CHEBI:116735'],['UNII:877376V2XW'],MONDO:0006723
['CHEBI:116735'],['UNII:877376V2XW'],UMLS:C0555971
['CHEBI:116735'],['UNII:877376V2XW'],UMLS:C0729771
['CHEBI:125354'],['UNII:PVI5M0M1GW'],MONDO:0005062
['CHEBI:125354'],['UNII:PVI5M0M1GW'],MONDO:0009693
['CHEBI:125354'],['UNII:PVI5M0M1GW'],UMLS:C1698088
['CHEBI:12777'],"['CHEBI:133538', 'CHEBI:15414', 'CHEBI:15956', 'CHEBI:16414', 'CHEBI:16708', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16908', 'CHEBI:17561', 'CHEBI:17895', 'CHEBI:17933', 'CHEBI:18385', 'CHEBI:195544', 'CHEBI:22652', 'CHEBI:26078', 'CHEBI:26709']",MONDO:0001711
['CHEBI:12777'],"['CHEBI:15956', 'CHEBI:16709', 'CHEBI:17154', 'CHEBI:17439', 'CHEBI:17621', 'CHEBI:18145', 'CHEBI:22652', 'CHEBI:27300', 'CHEBI:27373', 'CHEBI:27470', 'CHEBI:45931']",CHEBI:6446
['CHEBI:12777'],"['CHEBI:16709', 'CHEBI:18145']",MONDO:0004884
['CHEBI:12777'],"['CHEBI:16709', 'CHEBI:18145']",UMLS:C0852222
['CHEBI:12777'],['CHEBI:18145'],MONDO:0002022
['CHEBI:12777'],['CHEBI:18145'],MONDO:0005328
['CHEBI:12777'],['CHEBI:18145'],MONDO:0007016
['CHEBI:12777'],"['CHEBI:22652', 'CHEBI:27300']",MONDO:0007016
['CHEBI:12777'],"['CHEBI:22652', 'CHEBI:27300']",MONDO:0009412
['CHEBI:12777'],"['CHEBI:22652', 'CHEBI:27300']",MONDO:0100471
['CHEBI:12777'],['CHEBI:27300'],MONDO:0007016
['CHEBI:12777'],['CHEBI:27300'],MONDO:0100471
['CHEBI:12777'],['CHEBI:27300'],UMLS:C1272352
['CHEBI:12777'],['CHEBI:28934'],MONDO:0007016
['CHEBI:12777'],['CHEBI:28934'],MONDO:0100471
['CHEBI:12777'],['DRUGBANK:DB13961'],MONDO:0007016
['CHEBI:131391'],"['CHEBI:16709', 'DRUGBANK:DB10344', 'UNII:61ZBX54883']",HP:0002018
['CHEBI:131391'],['CHEBI:190298'],MONDO:0006844
['CHEBI:131527'],"['CHEBI:17234', 'CHEBI:25107', 'CHEBI:32588', 'CHEBI:32954']",MONDO:0000440
['CHEBI:131527'],"['CHEBI:17234', 'CHEBI:26710', 'CHEBI:32029', 'CHEBI:32599', 'CHEBI:3309']",MONDO:0000440
['CHEBI:131527'],"['CHEBI:17924', 'CHEBI:25107', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:3312', 'UNII:K679OBS311']",HP:0000217
['CHEBI:131527'],"['CHEBI:25107', 'CHEBI:26710', 'CHEBI:32588', 'CHEBI:3312', 'UNII:K679OBS311']",HP:0000217
['CHEBI:132233'],['CHEBI:4469'],MONDO:0005302
['CHEBI:132967'],['CHEBI:132975'],EFO:0004338
['CHEBI:132967'],"['CHEBI:132975', 'CHEBI:63580']",EFO:0004338
['CHEBI:133009'],"['CHEBI:63580', 'CHEBI:85083']",MONDO:0005155
['CHEBI:133009'],['CHEBI:85083'],MONDO:0005155
['CHEBI:133009'],['CHEBI:85083'],MONDO:0005354
['CHEBI:133009'],['CHEBI:85083'],UMLS:C4049392
['CHEBI:133009'],['CHEBI:85083'],UMLS:C4049395
['CHEBI:133009'],['CHEBI:85083'],UMLS:C4049418
['CHEBI:133009'],['CHEBI:85083'],UMLS:C4049420
['CHEBI:133009'],['CHEBI:85083'],UMLS:C4049431
['CHEBI:133009'],['CHEBI:85083'],UMLS:C4049435
['CHEBI:133009'],"['CHEBI:85083', 'UNII:0570F37359']",CHEBI:85083
['CHEBI:133009'],"['CHEBI:85083', 'UNII:0570F37359']",MONDO:0005155
['CHEBI:133009'],"['CHEBI:85083', 'UNII:0570F37359']",UNII:5QS67N4551
['CHEBI:133011'],['CHEBI:8310'],MONDO:0001465
['CHEBI:133011'],['CHEBI:8310'],MONDO:0021201
['CHEBI:133011'],['CHEBI:8310'],UMLS:C0016397
['CHEBI:133021'],['CHEBI:76612'],UMLS:C5395609
['CHEBI:133538'],"['CHEBI:15603', 'CHEBI:15971', 'CHEBI:16414', 'CHEBI:16811', 'CHEBI:16828', 'CHEBI:16857', 'CHEBI:17191', 'CHEBI:17295']",UMLS:C0542211
['CHEBI:133538'],['CHEBI:4046'],HP:0004325
['CHEBI:134699'],['CHEBI:15765'],MONDO:0020128
['CHEBI:134714'],['CHEBI:9927'],MONDO:0005009
['CHEBI:134714'],['CHEBI:9927'],MONDO:0005252
['CHEBI:134718'],"['CHEBI:15765', 'CHEBI:39585']",MONDO:0014231
['CHEBI:134719'],['CHEBI:9421'],MONDO:0001085
['CHEBI:134719'],['CHEBI:9421'],MONDO:0006939
['CHEBI:134719'],['CHEBI:9421'],MONDO:0100338
['CHEBI:134719'],['CHEBI:9421'],UMLS:C2189270
['CHEBI:134719'],['CHEBI:9421'],UMLS:C4727977
['CHEBI:134726'],"['CHEBI:15765', 'CHEBI:39585']",MONDO:0014231
['CHEBI:134729'],['CHEBI:31515'],MONDO:0007186
['CHEBI:134731'],['CHEBI:6801'],MONDO:0005148
['CHEBI:134742'],"['CHEBI:17076', 'CHEBI:27565', 'CHEBI:28077', 'CHEBI:3371', 'CHEBI:40009', 'CHEBI:45285', 'CHEBI:45304', 'CHEBI:45367', 'CHEBI:4877', 'CHEBI:4885', 'CHEBI:6030', 'CHEBI:72292', 'CHEBI:8382']",MONDO:0018076
['CHEBI:134742'],"['CHEBI:17076', 'CHEBI:27565', 'CHEBI:28077', 'CHEBI:3371', 'CHEBI:40009', 'CHEBI:45285', 'CHEBI:45304', 'CHEBI:45367', 'CHEBI:4877', 'CHEBI:4885', 'CHEBI:6030', 'CHEBI:72292', 'CHEBI:8382']",UMLS:C0152915
['CHEBI:134743'],"['CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049392
['CHEBI:134743'],"['CHEBI:63580', 'UNII:G8RGG88B68']",UMLS:C4049431
['CHEBI:134743'],"['CHEBI:63580', 'UNII:Q46947FE7K']",UMLS:C4049392
['CHEBI:134743'],"['CHEBI:63580', 'UNII:Q46947FE7K']",UMLS:C4049431
['CHEBI:134743'],['CHEBI:85083'],UMLS:C4049392
['CHEBI:134753'],['CHEBI:28939'],HP:0040334
['CHEBI:134753'],['CHEBI:28939'],MONDO:0004514
['CHEBI:134753'],['CHEBI:28939'],MONDO:0005709
['CHEBI:134753'],['CHEBI:28939'],MONDO:0005961
['CHEBI:134753'],['CHEBI:28939'],MONDO:0006004
['CHEBI:134753'],['CHEBI:28939'],MONDO:0011786
['CHEBI:134761'],['CHEBI:16914'],NCIT:C3244
['CHEBI:134761'],"['CHEBI:31832', 'CHEBI:86541', 'CHEBI:88839']",HP:0003326
['CHEBI:134761'],"['CHEBI:31832', 'CHEBI:86541', 'CHEBI:88839']",HP:0003419
['CHEBI:134761'],"['CHEBI:31832', 'CHEBI:86541', 'CHEBI:88839']",MONDO:0005546
['CHEBI:134761'],"['CHEBI:31832', 'CHEBI:86541', 'CHEBI:88839']",MONDO:0005554
['CHEBI:134761'],"['CHEBI:31832', 'CHEBI:86541', 'CHEBI:88839']",MONDO:0005578
['CHEBI:134761'],"['CHEBI:31832', 'CHEBI:86541', 'CHEBI:88839']",UMLS:C0038045
['CHEBI:134765'],"['CHEBI:46195', 'UNII:YYX637R279']",HP:0012228
['CHEBI:134765'],"['CHEBI:46195', 'UNII:YYX637R279']",UMLS:C0042376
['CHEBI:134813'],"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",HP:0002829
['CHEBI:134813'],"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",HP:0003419
['CHEBI:134813'],"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",UMLS:C0009938
['CHEBI:134813'],"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",UMLS:C0038045
['CHEBI:134813'],"['CHEBI:15409', 'CHEBI:31832', 'CHEBI:36773']",UMLS:C0410256
['CHEBI:134813'],"['CHEBI:15882', 'DRUGBANK:DB11338']",NCIT:C78640
['CHEBI:134813'],"['CHEBI:52010', 'CHEBI:8093']",MONDO:0003014
['CHEBI:134813'],"['CHEBI:52010', 'CHEBI:8093']",MONDO:0005324
['CHEBI:134813'],"['CHEBI:52010', 'CHEBI:8093']",MONDO:0005709
['CHEBI:134813'],"['CHEBI:52010', 'CHEBI:8093']",MONDO:0005961
['CHEBI:134813'],"['CHEBI:52010', 'CHEBI:8093']",UMLS:C2317131
['CHEBI:134817'],"['CHEBI:2659', 'CHEBI:52010', 'CHEBI:73237']",HP:0012735
['CHEBI:134817'],"['CHEBI:2659', 'CHEBI:52010', 'CHEBI:73237']",MONDO:0004979
['CHEBI:134817'],"['CHEBI:2659', 'CHEBI:52010', 'CHEBI:73237']",MONDO:0005709
['CHEBI:134850'],"['CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",HP:0003419
['CHEBI:134850'],"['CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",MONDO:0002122
['CHEBI:134850'],"['CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",MONDO:0006960
['CHEBI:134850'],"['CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",UMLS:C0543612
['CHEBI:134850'],"['CHEBI:17439', 'CHEBI:31749', 'CHEBI:41879', 'CHEBI:6456']",UMLS:C3495832
['CHEBI:134880'],['CHEBI:39585'],MONDO:0020128
['CHEBI:134893'],['CHEBI:52010'],MONDO:0011786
['CHEBI:134916'],['CHEBI:46195'],HP:0002487
['CHEBI:134916'],['CHEBI:46195'],HP:0012531
['CHEBI:135047'],"['CHEBI:16236', 'CHEBI:46195']",UMLS:C0281856
['CHEBI:135047'],"['CHEBI:16714', 'CHEBI:5551']",HP:0012735
['CHEBI:135047'],"['CHEBI:16714', 'CHEBI:5551']",MONDO:0003781
['CHEBI:135047'],['CHEBI:46195'],UMLS:C0281856
['CHEBI:135047'],['CHEBI:5779'],MONDO:0011786
['CHEBI:135096'],['CHEBI:16914'],HP:0002829
['CHEBI:135096'],['CHEBI:16914'],HP:0003326
['CHEBI:135096'],['CHEBI:16914'],HP:0003419
['CHEBI:135096'],['CHEBI:16914'],HP:0012513
['CHEBI:135096'],['CHEBI:16914'],HP:0030834
['CHEBI:135096'],['CHEBI:16914'],HP:0032510
['CHEBI:135096'],['CHEBI:16914'],UMLS:C0009938
['CHEBI:135096'],['CHEBI:16914'],UMLS:C0038045
['CHEBI:135096'],['CHEBI:16914'],UMLS:C0080194
['CHEBI:135096'],['CHEBI:16914'],UMLS:C0423673
['CHEBI:135096'],['CHEBI:16914'],UMLS:C0751371
['CHEBI:135096'],['CHEBI:16914'],UMLS:C2609048
['CHEBI:135107'],['CHEBI:27902'],MONDO:0001249
['CHEBI:135107'],['CHEBI:27902'],MONDO:0043885
['CHEBI:135136'],['CHEBI:6909'],MONDO:0001103
['CHEBI:135136'],['CHEBI:6909'],MONDO:0002154
['CHEBI:135136'],['CHEBI:6909'],MONDO:0005292
['CHEBI:135136'],['CHEBI:6909'],MONDO:0005644
['CHEBI:135136'],['CHEBI:6909'],UMLS:C0023886
['CHEBI:135173'],['CHEBI:28304'],MONDO:0001106
['CHEBI:135180'],['CHEBI:7660'],MONDO:0005316
['CHEBI:135180'],['CHEBI:7660'],MONDO:0005993
['CHEBI:135180'],['CHEBI:7660'],MONDO:0006014
['CHEBI:135207'],['CHEBI:32219'],HP:0012735
['CHEBI:135222'],['CHEBI:8093'],HP:0001742
['CHEBI:135222'],['CHEBI:8093'],MONDO:0004514
['CHEBI:135222'],['CHEBI:8093'],MONDO:0005441
['CHEBI:135222'],['CHEBI:8093'],MONDO:0005709
['CHEBI:135222'],['CHEBI:8093'],MONDO:0005961
['CHEBI:135222'],['CHEBI:8093'],MONDO:0006031
['CHEBI:135276'],"['CHEBI:15365', 'CHEBI:27732']",HP:0012531
['CHEBI:135276'],"['CHEBI:27732', 'CHEBI:46195']",UMLS:C0278139
['CHEBI:135276'],"['CHEBI:27732', 'CHEBI:46195']",UMLS:C0278140
['CHEBI:135276'],['CHEBI:30746'],HP:0031246
['CHEBI:135285'],['CHEBI:6801'],CHEBI:5931
['CHEBI:135285'],['CHEBI:6801'],CHEBI:6801
['CHEBI:135285'],['CHEBI:6801'],MONDO:0005148
['CHEBI:135312'],['CHEBI:88667'],MONDO:0005326
['CHEBI:135360'],"['CHEBI:27732', 'CHEBI:46195', 'CHEBI:64318']",MONDO:0005277
['CHEBI:135360'],"['CHEBI:27732', 'CHEBI:46195', 'CHEBI:64318']",MONDO:0043537
['CHEBI:135398'],['CHEBI:4903'],MONDO:0008487
['CHEBI:135408'],['CHEBI:5551'],HP:0012735
['CHEBI:135408'],['CHEBI:5551'],MONDO:0005002
['CHEBI:135492'],['CHEBI:50156'],UMLS:C0851300
['CHEBI:135492'],['CHEBI:9241'],MONDO:0005252
['CHEBI:135492'],['CHEBI:9241'],NCIT:C50611
['CHEBI:135492'],['CHEBI:9241'],UniProtKB:A0A8D1EIM4
['CHEBI:135499'],['CHEBI:9671'],MONDO:0005044
['CHEBI:135499'],['CHEBI:9671'],UMLS:C0851300
['CHEBI:135515'],"['CHEBI:167707', 'UNII:4F4X42SYQ6']",MONDO:0010643
['CHEBI:135515'],['CHEBI:76612'],CHEBI:91326
['CHEBI:135515'],"['UNII:4F4X42SYQ6', 'UNII:KG6VO684Z6']",MONDO:0007915
['CHEBI:135515'],['UNII:O43472U9X8'],UMLS:C0855090
['CHEBI:135527'],['CHEBI:16163'],HP:0012735
['CHEBI:135538'],"['CHEBI:22652', 'CHEBI:46195']",HP:0001945
['CHEBI:135538'],"['CHEBI:22652', 'CHEBI:46195']",HP:0100607
['CHEBI:135538'],"['CHEBI:22652', 'CHEBI:46195']",NCIT:C78640
['CHEBI:135538'],"['CHEBI:22652', 'CHEBI:46195']",UMLS:C0751371
['CHEBI:135538'],"['CHEBI:22652', 'CHEBI:46195']",UMLS:C0852402
['CHEBI:135538'],"['CHEBI:27732', 'CHEBI:46195']",HP:0002027
['CHEBI:135538'],['CHEBI:5088'],HP:0034267
['CHEBI:135538'],['CHEBI:5088'],HP:0100607
['CHEBI:135538'],['CHEBI:5088'],MONDO:0006624
['CHEBI:135538'],['CHEBI:5088'],UMLS:C0241310
['CHEBI:135538'],['CHEBI:5088'],UMLS:C0423736
['CHEBI:135538'],['CHEBI:94607'],HP:0001945
['CHEBI:135547'],['CHEBI:94773'],HP:0002027
['CHEBI:135547'],['CHEBI:94773'],HP:0100607
['CHEBI:135547'],['CHEBI:94773'],MONDO:0002118
['CHEBI:135547'],['CHEBI:94773'],MONDO:0004868
['CHEBI:135547'],['CHEBI:94773'],UMLS:C1290992
['CHEBI:135564'],['CHEBI:16469'],NCIT:C3852
['CHEBI:135590'],['CHEBI:174690'],HP:0006528
['CHEBI:135590'],['CHEBI:174690'],MONDO:0003781
['CHEBI:135590'],['CHEBI:174690'],MONDO:0005002
['CHEBI:135590'],['CHEBI:2549'],HP:0012735
['CHEBI:135590'],"['CHEBI:28177', 'CHEBI:4470']",HP:0012735
['CHEBI:135611'],"['CHEBI:15354', 'CHEBI:6456']",NCIT:C78325
['CHEBI:135611'],"['CHEBI:186232', 'CHEBI:8093']",HP:0001742
['CHEBI:135611'],"['CHEBI:36560', 'CHEBI:39561']",UMLS:C0011974
['CHEBI:135611'],['CHEBI:39561'],UMLS:C0043255
['CHEBI:135611'],['CHEBI:41872'],HP:0100812
['CHEBI:135611'],['CHEBI:41872'],MONDO:0002508
['CHEBI:135611'],['CHEBI:41872'],MONDO:0005886
['CHEBI:135611'],['CHEBI:41872'],MONDO:0006723
['CHEBI:135611'],['CHEBI:41872'],UMLS:C0555971
['CHEBI:135611'],['CHEBI:41872'],UMLS:C0729771
['CHEBI:135611'],"['CHEBI:5950', 'CHEBI:7660']",MONDO:0002154
['CHEBI:135611'],"['CHEBI:5950', 'CHEBI:7660']",MONDO:0006014
['CHEBI:135636'],"['CHEBI:16709', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:7916']",HP:0100503
['CHEBI:135636'],"['CHEBI:16709', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:7916']",MONDO:0004574
['CHEBI:135636'],"['CHEBI:16709', 'CHEBI:17439', 'CHEBI:18145', 'CHEBI:7916']",MONDO:0020696
